Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
Titanic,"Southampton, 10 avril 1912. Le paquebot le plus grand et le plus moderne du monde, réputé pour son insubmersibilité, le Titanic appareille pour son premier voyage. Quatre jours plus tard, il heurte un iceberg. A son bord, un artiste pauvre et une grande bourgeoise tombent amoureux.","7 janvier 1998
","
 3h 14min
","
Drame,
Romance","
James Cameron","
Leonardo DiCaprio,
Kate Winslet,
Billy Zane","4,3",--
La Chance de ma vie,"Julien Monnier a un sérieux problème. Il a beau être un conseiller conjugal brillant, il n'arrive pas à garder une femme dans sa vie plus de deux semaines. Et pour cause, depuis son plus jeune âge, Julien porte la poisse à toutes les femmes...","5 janvier 2011
","

1h 27min
","
Comédie,
Romance","
Nicolas Cuche","
François-Xavier Demaison,
Virginie Efira,
Armelle Deutsch","2,8",--
"Extra : Allan, Britney et le vaisseau spatial","Allan est un petit garçon qui, une nuit, voit un objet lumineux non identifié s’écraser sur le terrain de foot voisin. Allan découvre alors Britney, une petite extraterrestre… Comment l’aider à réparer son vaisseau spatial ? C’est le début d’une aventure extra !","19 octobre 2022
","
1h 20min
","
Aventure,
Animation,
Famille","
Amalie Næsby Fick","
Louis Næss-Schmidt,
Sofie Torp,
Jesper Christensen",--,"3,2"
Amants,"Lisa et Simon s’aiment passionnément depuis leur adolescence et mènent la vie urbaine et nocturne des gens de leur âge. A la suite d’une soirée qui tourne mal et dont l’issue n’est autre que la prison pour Simon, il décide de fuir. Lisa attend alors des nouvelles de Simon qui ne viendront jamais.","17 novembre 2021
","
1h 40min
","
Drame,
Thriller","
Nicole Garcia","
Pierre Niney,
Stacy Martin,
Benoît Magimel",--,"3,0"
One Piece Film - Red,"Luffy et son équipage s’apprêtent à assister à un festival de musique attendu avec impatience. La chanteuse la plus populaire du monde, Uta, va monter sur scène pour la première fois. Fille du légendaire pirate Shanks Le Roux, elle va révéler la puissance exceptionnelle de sa voix.","10 août 2022
","
1h 55min
","
Aventure,
Animation,
Comédie","
Goro Taniguchi","
Marie Braam,
Kaori Nazuka,
Stephane Excoffier",--,"3,7"
Un beau matin,"Sandra, jeune mère qui élève seule sa fille, rend souvent visite à son père malade, Georg. Alors qu'elle s'engage avec sa famille dans un parcours du combattant pour le faire soigner, Sandra fait la rencontre de Clément, un ami perdu de vue depuis longtemps...","5 octobre 2022
","
1h 54min
","
Drame,
Romance","
Mia Hansen-Løve","
Léa Seydoux,
Pascal Greggory,
Melvil Poupaud",--,"3,1"
"Spirited, l'esprit de Noël","À chaque réveillon de Noël, le fantôme du Noël présent choisit une âme sombre, que la visite de trois esprits viendra sauver. Mais cette fois, il ne tombe pas sur le bon Scrooge. Clint Briggs renverse les rôles et c'est le fantôme du Noël présent qui se retrouve face à son passé, son présent et son futur. Dans cette hilarante variante musicale de l'oeuvre de Dickens, les Contes de Noël sont pour la première fois racontés du point de vue des fantômes.","18 novembre 2022
","
2h 07min
","
Comédie,
Famille,
Comédie musicale","
Sean Anders","
Will Ferrell,
Ryan Reynolds,
 Octavia Spencer","3,1","2,8"
Ambulance,"Will Sharp, un vétéran décoré fait appel à la seule personne indigne de confiance, son frère adoptif Danny pour trouver l’argent afin de couvrir les frais médicaux de sa femme. Ce dernier, un charismatique criminel au long cours, au lieu de lui donner de l’argent, lui propose un coup...","23 mars 2022
","
2h 16min

","
Action,
Thriller","
Michael Bay","
Jake Gyllenhaal,
Yahya Abdul-Mateen II,
Eiza Gonzalez","2,3","2,5"
L'École du Bien et du Mal,"Dans ce conte de fées moderne, les meilleures amies Sophie et Agatha se retrouvent dans des camps opposés lorsqu'elles sont forcées d'intégrer une école enchantée qui forme des héros et des méchants pour que l'équilibre entre le bien et le mal soit préservé.","19 octobre 2022
","
2h 27min
","
Action,
Aventure,
Fantastique","
Paul Feig","
Sophia Anne Caruso,
Sofia Wylie,
Kerry Washington","3,7","2,8"
Bowling Saturne,"A la mort de leur père, Guillaume, policier ambitieux, offre en gérance le bowling dont il vient d'hériter à son demi-frère marginal, Armand. L'héritage est maudit et va plonger les deux hommes dans un gouffre de violence…","26 octobre 2022
","
1h 54min
","
Drame,
Thriller","
Patricia Mazuy","
Arieh Worthalter,
Achille Reggiani,
Y Lan Lucas","4,0","3,7"
Willow,"Il était une fois un royaume peuplé de petits habitants apppelés les Nelwyns. Ce peuple paisible était dominé de temps immémorial par les Daikinis, gens de grand taille gouvernés par la cruelle reine Bavmorda.","2 novembre 1988
","
2h 05min
","
Aventure,
Fantastique","
Ron Howard","
Val Kilmer,
Warwick Davis,
Billy Barty","2,6","4,2"
Mary,"Un homme se bat pour obtenir la garde de sa nièce, qui témoigne d'un don hors du commun pour les mathématiques.","13 septembre 2017
","
1h 41min
","
Drame","
Marc Webb","
Chris Evans,
Mckenna Grace,
Lindsay Duncan",,
Coupez !,"Un tournage de film de zombies. Entre techniciens blasés et acteurs pas vraiment concernés, seul le réalisateur semble investi de l’énergie nécessaire pour donner vie à un énième film d'horreur à petit budget. L’irruption d’authentiques morts-vivants va perturber le tournage.","18 mai 2022
","
1h 50min
","
Comédie,
Epouvante-horreur","
Michel Hazanavicius","
Romain Duris,
Bérénice Bejo,
Grégory Gadebois","3,8","3,6"
Interstellar,Le film raconte les aventures d’un groupe d’explorateurs qui utilisent une faille récemment découverte dans l’espace-temps afin de repousser les limites humaines et partir à la conquête des distances astronomiques dans un voyage interstellaire.,"5 novembre 2014
","
2h 49min
","
Drame,
Science Fiction","
Christopher Nolan","
Matthew McConaughey,
Anne Hathaway,
Michael Caine","3,8","4,5"
Downton Abbey II : Une nouvelle ère,Le retour très attendu du phénomène mondial réunit les acteurs favoris de la série pour un grand voyage dans le sud de la France afin de découvrir le mystère de la villa dont vient d'hériter la comtesse douairière.,"27 avril 2022
","
2h 06min
","
Drame,
Historique","
Simon Curtis","
Hugh Bonneville,
Michelle Dockery,
Elizabeth McGovern","3,3","3,8"
The Stranger,"Deux inconnus se rencontrent. L’un va entraîner l’autre dans une vaste et puissante organisation criminelle, lui offrant ainsi la possibilité de se racheter après un passé violent et de prendre un nouveau départ.","19 octobre 2022
","
1h 57min
","
Policier,

Drame,
Thriller","
Thomas M. Wright","
Joel Edgerton,
Sean Harris,
Ewen Leslie","3,0","3,1"
Le Monde d'après,"Neuf saynètes qui passent en revue tous les sujets de société les plus brûlants (crise sanitaire, lutte féministe, etc.…) avec une bonne dose d’humour.","26 octobre 2022
","
1h 01min
","
Comédie","
Laurent Firode","
Irène Ismailoff,
Patrick Dross,
Matthieu Moerlen","1,8","4,2"
Jurassic World: Le Monde d'après,Quatre ans après la destruction de Isla Nublar. Les dinosaures font désormais partie du quotidien de l’humanité entière. Un équilibre fragile qui va remettre en question la domination de l’espèce humaine.,"8 juin 2022
","
2h 26min
","
Action,
Aventure,
Science Fiction","
Colin Trevorrow","
Chris Pratt,

Bryce Dallas Howard,
Laura Dern","2,3","2,3"
Les Harkis,"Fin des années 50, début des années 60, la guerre d’Algérie se prolonge. Salah, Kaddour et d’autres jeunes Algériens sans ressources rejoignent l’armée française, en tant que harkis. Á leur tête, le lieutenant Pascal. L'issue du conflit laisse prévoir l'indépendance prochaine de l'Algérie.","12 octobre 2022
","
1h 22min
","
Drame,
Historique","
Philippe Faucon","
Théo Cholbi,
Mohamed El Amine Mouffok,
Pierre Lottin","3,9","3,4"
La Ligne verte,"Paul Edgecomb, Gardien-chef du pénitencier de Cold Mountain en 1935, était chargé de veiller au bon déroulement des exécutions capitales. Parmi les prisonniers se trouvait un colosse du nom de John Coffey...","1 mars 2000
","
 3h 09min
","
Policier,
Fantastique","
Frank Darabont","
Tom Hanks,
Michael Clarke Duncan,
David Morse","2,8","4,6"
Splice,Deux jeunes scientifiques deviennent célèbres pour avoir fusionné l'ADN de différents animaux afin de créer des créatures fantastiques. Ils finissent par ignorer les limites légales et éthiques de leurs expériences en ajoutant l'ADN d'un humain.,"30 juin 2010
","

1h 47min
","
Science Fiction","
Vincenzo Natali","
Sarah Polley,
Adrien Brody,
Delphine Chanéac","3,2","2,3"
Murder Party,"Jeanne Chardon-Spitzer, brillante architecte, se voit confier la réhabilitation du somptueux manoir des Daguerre, étrange famille à la tête d’un empire du jeu de société. Quand César, le patriarche, est assassiné, Jeanne est entraînée dans un jeu d’enquête grandeur nature...","9 mars 2022
","
1h 43min

","
Comédie,
Policier","
Nicolas Pleskof","
Alice Pol,
 Miou-Miou,
Eddy Mitchell","2,9","2,0"
Le Sixième enfant,"Franck, ferrailleur, et Meriem ont cinq enfants, un sixième en route, et de sérieux problèmes d’argent. Julien et Anna sont avocats et n’arrivent pas à avoir d’enfant. C’est l’histoire d’un impensable arrangement.","28 septembre 2022
","
1h 32min
","
Drame","
Léopold Legrand","
Sara Giraudeau,
Benjamin Lavernhe,
Judith Chemla","3,8","4,0"
Elvis,"La vie et l'œuvre musicale d'Elvis Presley à travers le prisme de ses rapports complexes avec son mystérieux manager, le colonel Tom Parker. Le film explorera leurs relations sur une vingtaine d'années, de l'ascension du chanteur à son statut de star inégalé.","22 juin 2022
","
2h 39min
","
Biopic,
Musical","
Baz Luhrmann","
Austin Butler,
Tom Hanks,
Olivia DeJonge","3,8","4,2"
Entre la vie et la mort,"Leo Castaneda est espagnol, il vit à Bruxelles, où il conduit les métros de la ligne 6. Un soir, il croise le regard d’un jeune homme au bord du quai. Des yeux fiévreux de détresse, un visage familier… Leo reconnait son fils Hugo, lorsque celui-ci disparait tragiquement sur les rails !","29 juin 2022
","
1h 45min
","
Drame,
Thriller","
Giordano Gederlini","
Antonio de la Torre,
Marine Vacth,
Olivier Gourmet","3,0","3,3"
Par-delà l'univers,"La talentueuse pianiste Nina doit surmonter les difficultés liées au lupus, une maladie auto-immune susceptible de toucher n'importe quelle partie du corps. Dans son cas, un rein. Contre toute attente, la jeune femme noue des liens étroits avec Gabriel, l'un des médecins de son équipe de soignants. Il l'aidera à gérer ses insécurités face à la perspective de jouer sur scène avec un grand orchestre à São Paulo.","27 octobre 2022
","
2h 06min
","
Drame,
Romance","
Diego Freitas","
Giulia Be,
Henry Zaga,
João Miguel","3,1",--
Bac Nord,"2012. Les quartiers Nord de Marseille détiennent un triste record : la zone au taux de criminalité le plus élevé de France. Poussée par sa hiérarchie, la BAC Nord, brigade de terrain, cherche sans cesse à améliorer ses résultats.","18 août 2021
","
1h 44min
","
Policier,
Thriller","
Cédric Jimenez","
Gilles Lellouche,
François Civil,
Karim Leklou","4,2",--
